"명칭","좌표주소","위도","경도","상세주소","상세내용"
"그린파킹 CCTV","대한민국 서울특별시 금천구 독산로76길 10","37.4691401","126.90326060000006","독산로76길 10","관리번호: G115"
"그린파킹 CCTV","대한민국 서울특별시 금천구 범안로12길 29","37.4652069","126.8920445","범안로12길 29","관리번호: G116"
"그린파킹 CCTV","대한민국 서울특별시 금천구 범안로12길 21-11","37.4654767","126.89256950000003","범안로12길 21-11","관리번호: G117"
"그린파킹 CCTV","대한민국 서울특별시 금천구 시흥대로38길 4","37.4438016","126.9048037","시흥대로38길 4","관리번호: G118"
"그린파킹 CCTV","대한민국 서울특별시 금천구 시흥대로30길 19","37.4431668","126.90445690000001","시흥대로30길 19","관리번호: G119"
"그린파킹 CCTV","대한민국 서울특별시 금천구 시흥대로26길 11","37.4421056","126.90458430000001","시흥대로26길 11","관리번호: G120"
"그린파킹 CCTV","대한민국 서울특별시 금천구 시흥대로20길 21","37.4412812","126.90420080000001","시흥대로20길 21","관리번호: G121"
"그린파킹 CCTV","대한민국 서울특별시 금천구 시흥대로18길 10","37.4401783","126.90410050000002","시흥대로18길 10","관리번호: G122"
"그린파킹 CCTV","대한민국 서울특별시 금천구 시흥대로12길 13","37.4391753","126.90427669999997","시흥대로12길 13","관리번호: G123"
"그린파킹 CCTV","대한민국 서울특별시 금천구 시흥대로28길 35-16","37.4430697","126.90613310000003","시흥대로28길 35-16","관리번호: G124"
"그린파킹 CCTV","대한민국 서울특별시 금천구 시흥대로26길 36","37.4416623","126.90575579999995","시흥대로26길 36","관리번호: G125"
"그린파킹 CCTV","대한민국 서울특별시 금천구 시흥대로22길 24","37.44075249999999","126.9057838","시흥대로22길 24","관리번호: G126"
"그린파킹 CCTV","대한민국 서울특별시 금천구 시흥대로16길 30","37.439802","126.90588909999997","시흥대로16길 30","관리번호: G127"
